"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD test with steps","This will create a new category","SUCCESS","2022-06-06T23:29:54.457+01:00[Europe/London]","0.0","3.96"
"Categories CURD test with steps","Verify if the category was created","SUCCESS","2022-06-06T23:29:58.457+01:00[Europe/London]","0.0","0.63"
"Categories CURD test with steps","Update the category information and verify the updated information","SUCCESS","2022-06-06T23:29:59.090+01:00[Europe/London]","0.0","0.13"
"Categories CURD test with steps","Delete the category and verify if the category is deleted!","SUCCESS","2022-06-06T23:29:59.222+01:00[Europe/London]","0.0","0.07"
"Products CURD test with steps","This will create a new Product","SUCCESS","2022-06-06T23:30:00.750+01:00[Europe/London]","0.0","0.08"
"Products CURD test with steps","Verify if the product was added to the application","SUCCESS","2022-06-06T23:30:00.836+01:00[Europe/London]","0.0","0.09"
"Products CURD test with steps","Update the product information and verify the updated information","SUCCESS","2022-06-06T23:30:00.930+01:00[Europe/London]","0.0","0.16"
"Products CURD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2022-06-06T23:30:01.091+01:00[Europe/London]","0.0","0.09"
"Services CURD test with steps","This will create a new service","SUCCESS","2022-06-06T23:30:01.307+01:00[Europe/London]","0.0","0.05"
"Services CURD test with steps","Verify if the service was added","SUCCESS","2022-06-06T23:30:01.360+01:00[Europe/London]","0.0","0.05"
"Services CURD test with steps","Update the service information and verify the updated information","SUCCESS","2022-06-06T23:30:01.415+01:00[Europe/London]","0.0","0.13"
"Services CURD test with steps","Delete the service and verify if the service is deleted!","SUCCESS","2022-06-06T23:30:01.550+01:00[Europe/London]","0.0","0.09"
"Stores CURD test with steps","This will create a new Store","SUCCESS","2022-06-06T23:30:01.718+01:00[Europe/London]","0.0","0.06"
"Stores CURD test with steps","Verify if the store was added to the application","SUCCESS","2022-06-06T23:30:01.782+01:00[Europe/London]","0.0","0.13"
"Stores CURD test with steps","Update the store information and verify the updated information","SUCCESS","2022-06-06T23:30:01.926+01:00[Europe/London]","0.0","0.17"
"Stores CURD test with steps","Delete the stores and verify if the stores is deleted!","SUCCESS","2022-06-06T23:30:02.093+01:00[Europe/London]","0.0","0.06"
"Utilities CURD test with steps","This will get all HealthCheck","SUCCESS","2022-06-06T23:30:02.295+01:00[Europe/London]","0.0","0.04"
"Utilities CURD test with steps","This will get all version","SUCCESS","2022-06-06T23:30:02.336+01:00[Europe/London]","0.0","0.03"
